Streamer,Date,Duration,Viewers
alanzoka,2019-11-20T18:06:08Z,8h27m36s,55310
alanzoka,2019-11-19T18:19:02Z,6h2m57s,52506
alanzoka,2019-11-18T19:54:00Z,6h30m40s,60534
alanzoka,2019-11-15T18:42:11Z,7h49m0s,132513
alanzoka,2019-11-14T18:11:12Z,7h53m26s,49444
alanzoka,2019-11-14T02:38:40Z,3h53m46s,57637
alanzoka,2019-11-13T17:44:11Z,8h29m42s,58678
alanzoka,2019-11-13T03:20:11Z,8h35m21s,115869
alanzoka,2019-11-12T17:12:09Z,9h17m5s,65527
alanzoka,2019-11-12T03:28:23Z,8h35m32s,133488
alanzoka,2019-11-11T17:13:02Z,8h57m44s,71255
alanzoka,2019-11-09T05:55:16Z,10h45m56s,211526
alanzoka,2019-11-08T17:09:19Z,11h10m42s,123632
alanzoka,2019-11-08T02:15:48Z,8h5m16s,323468
alanzoka,2019-11-07T17:20:49Z,8h47m27s,197952
alanzoka,2019-11-06T18:24:48Z,7h57m13s,69871
alanzoka,2019-11-02T22:34:33Z,1h42m24s,43390
alanzoka,2019-11-02T20:23:50Z,1h9m52s,15207
alanzoka,2019-11-01T19:40:23Z,1h17m31s,44047
alanzoka,2019-10-30T16:39:49Z,2h39m55s,34484
alanzoka,2019-10-29T18:20:39Z,7h19m10s,57439
alanzoka,2019-10-27T16:11:47Z,2h10m5s,37307
alanzoka,2019-10-27T16:11:05Z,20s,8871
alanzoka,2019-10-26T18:16:02Z,7h14m7s,46847
alanzoka,2019-10-25T17:58:27Z,9h16m51s,133966
alanzoka,2019-10-24T18:13:35Z,6h55m45s,58007
alanzoka,2019-10-23T19:09:25Z,6h42m49s,58226
alanzoka,2019-10-23T18:17:33Z,51m25s,14945
alanzoka,2019-10-23T18:16:52Z,22s,7333
alanzoka,2019-10-23T18:15:32Z,1m6s,7233
alanzoka,2019-10-22T18:18:21Z,7h49m48s,52364
alanzoka,2019-10-19T21:22:52Z,3h41m2s,49774
alanzoka,2019-10-18T18:11:30Z,7h35m0s,93779
alanzoka,2019-10-17T18:09:11Z,6h44m19s,117379
alanzoka,2019-10-16T18:12:30Z,7h16m16s,117744
